MutantNo,[FAIL | TIME | EXC | LIVE]
134,LIVE
135,LIVE
136,LIVE
137,EXC
309,EXC
310,LIVE
311,LIVE
312,EXC
313,EXC
314,EXC
315,EXC
316,EXC
317,EXC
318,LIVE
319,EXC
320,EXC
321,EXC
322,EXC
323,FAIL
324,EXC
325,FAIL
326,EXC
327,EXC
328,FAIL
329,EXC
330,LIVE
331,EXC
332,LIVE
333,EXC
334,EXC
335,LIVE
336,EXC
337,FAIL
338,FAIL
339,EXC
340,EXC
341,LIVE
342,LIVE
343,EXC
344,EXC
345,EXC
346,EXC
347,EXC
348,EXC
349,LIVE
350,EXC
351,EXC
352,EXC
353,EXC
354,FAIL
355,EXC
356,FAIL
357,EXC
358,EXC
359,FAIL
360,EXC
361,LIVE
362,EXC
363,LIVE
364,EXC
365,EXC
366,LIVE
367,EXC
368,FAIL
369,FAIL
370,EXC
371,EXC
372,FAIL
373,FAIL
374,FAIL
375,FAIL
376,EXC
377,FAIL
378,FAIL
379,FAIL
380,FAIL
381,EXC
382,EXC
383,TIME
384,LIVE
385,EXC
386,LIVE
387,FAIL
388,EXC
389,LIVE
390,FAIL
391,EXC
399,EXC
400,EXC
401,EXC
402,EXC
403,FAIL
404,EXC
405,FAIL
406,FAIL
407,LIVE
408,FAIL
409,LIVE
410,LIVE
411,FAIL
412,LIVE
413,FAIL
414,LIVE
415,LIVE
416,EXC
417,EXC
418,FAIL
419,EXC
420,LIVE
421,FAIL
422,FAIL
423,EXC
432,EXC
433,EXC
434,EXC
435,EXC
436,FAIL
437,EXC
438,FAIL
439,FAIL
440,FAIL
441,LIVE
442,FAIL
443,LIVE
444,FAIL
445,LIVE
446,LIVE
447,FAIL
448,FAIL
449,LIVE
450,FAIL
451,FAIL
452,LIVE
453,LIVE
454,LIVE
455,LIVE
456,FAIL
457,LIVE
458,LIVE
459,LIVE
460,LIVE
461,FAIL
462,FAIL
464,FAIL
465,EXC
466,EXC
467,EXC
468,LIVE
469,EXC
470,LIVE
471,EXC
472,LIVE
473,EXC
474,EXC
481,LIVE
482,EXC
483,EXC
484,LIVE
485,LIVE
486,EXC
487,LIVE
488,LIVE
489,EXC
490,LIVE
491,EXC
492,EXC
493,LIVE
494,EXC
495,LIVE
496,FAIL
497,EXC
498,FAIL
499,EXC
500,LIVE
501,LIVE
502,EXC
503,FAIL
504,EXC
505,EXC
506,LIVE
507,EXC
508,EXC
509,EXC
510,LIVE
511,EXC
512,EXC
513,EXC
514,LIVE
515,LIVE
516,EXC
517,FAIL
518,EXC
519,LIVE
520,LIVE
521,EXC
522,FAIL
523,EXC
524,FAIL
525,EXC
526,EXC
527,EXC
528,LIVE
529,EXC
530,EXC
531,EXC
532,LIVE
533,LIVE
534,EXC
535,EXC
536,EXC
537,EXC
538,LIVE
539,EXC
540,LIVE
541,LIVE
542,LIVE
543,EXC
544,EXC
545,EXC
546,LIVE
547,LIVE
548,EXC
549,LIVE
550,LIVE
551,EXC
552,FAIL
553,EXC
554,FAIL
555,EXC
556,FAIL
557,EXC
558,EXC
559,EXC
560,EXC
561,FAIL
562,EXC
563,FAIL
564,LIVE
565,FAIL
566,EXC
567,LIVE
568,EXC
569,LIVE
570,EXC
571,EXC
572,EXC
573,LIVE
574,EXC
575,LIVE
576,LIVE
577,EXC
578,LIVE
579,EXC
580,LIVE
581,EXC
582,LIVE
583,EXC
584,FAIL
585,LIVE
586,FAIL
587,LIVE
588,FAIL
589,EXC
590,LIVE
591,LIVE
592,LIVE
593,FAIL
594,LIVE
595,EXC
596,EXC
597,FAIL
598,FAIL
599,EXC
600,LIVE
601,LIVE
602,LIVE
603,FAIL
604,LIVE
605,EXC
606,EXC
607,FAIL
608,FAIL
609,EXC
610,FAIL
611,LIVE
612,LIVE
613,EXC
614,EXC
615,EXC
616,LIVE
617,LIVE
618,EXC
619,EXC
620,LIVE
621,LIVE
622,FAIL
623,EXC
624,FAIL
625,LIVE
626,LIVE
627,EXC
628,EXC
629,EXC
630,FAIL
631,LIVE
632,EXC
633,EXC
634,FAIL
635,EXC
636,EXC
637,EXC
638,EXC
639,EXC
640,LIVE
641,FAIL
642,EXC
643,EXC
644,EXC
645,LIVE
646,FAIL
647,FAIL
648,EXC
649,LIVE
650,LIVE
651,EXC
652,FAIL
653,EXC
654,FAIL
655,LIVE
656,EXC
657,FAIL
658,LIVE
659,LIVE
660,FAIL
661,FAIL
662,FAIL
663,LIVE
664,LIVE
665,LIVE
666,LIVE
667,FAIL
668,LIVE
669,LIVE
670,FAIL
671,EXC
672,FAIL
673,LIVE
674,LIVE
675,LIVE
676,LIVE
677,FAIL
678,FAIL
679,EXC
680,FAIL
681,LIVE
682,LIVE
683,EXC
684,LIVE
685,EXC
686,FAIL
687,LIVE
688,EXC
689,EXC
690,EXC
691,FAIL
692,LIVE
693,LIVE
694,FAIL
695,LIVE
696,FAIL
697,LIVE
698,LIVE
699,FAIL
700,FAIL
701,EXC
702,TIME
703,LIVE
704,LIVE
706,LIVE
707,LIVE
708,TIME
709,LIVE
713,LIVE
714,LIVE
715,LIVE
716,LIVE
717,LIVE
718,LIVE
719,LIVE
720,LIVE
721,TIME
722,LIVE
723,EXC
724,LIVE
725,LIVE
726,LIVE
727,LIVE
728,EXC
733,LIVE
734,LIVE
735,LIVE
736,LIVE
737,EXC
742,EXC
744,LIVE
798,EXC
799,EXC
800,EXC
801,EXC
802,LIVE
803,LIVE
804,EXC
805,LIVE
806,LIVE
807,LIVE
808,LIVE
809,LIVE
810,LIVE
811,LIVE
812,LIVE
813,LIVE
814,LIVE
815,LIVE
816,LIVE
817,LIVE
818,LIVE
819,LIVE
820,LIVE
821,LIVE
822,LIVE
823,LIVE
824,LIVE
825,LIVE
826,FAIL
827,FAIL
828,FAIL
829,FAIL
830,LIVE
831,LIVE
832,FAIL
833,LIVE
834,LIVE
835,LIVE
836,LIVE
837,LIVE
838,LIVE
839,LIVE
840,LIVE
841,LIVE
842,LIVE
843,LIVE
844,LIVE
845,LIVE
846,LIVE
847,LIVE
848,LIVE
849,EXC
850,LIVE
851,EXC
852,LIVE
853,LIVE
854,EXC
855,EXC
856,LIVE
857,LIVE
863,LIVE
864,LIVE
865,LIVE
866,LIVE
868,LIVE
869,EXC
870,EXC
871,LIVE
872,LIVE
873,LIVE
874,LIVE
875,LIVE
876,LIVE
877,FAIL
878,FAIL
879,FAIL
880,LIVE
881,LIVE
882,LIVE
883,EXC
884,EXC
885,EXC
886,EXC
887,EXC
888,EXC
889,LIVE
890,LIVE
891,LIVE
892,LIVE
893,LIVE
894,LIVE
895,LIVE
896,LIVE
897,LIVE
901,EXC
906,EXC
907,EXC
914,LIVE
915,LIVE
916,FAIL
917,EXC
918,LIVE
919,LIVE
920,LIVE
926,LIVE
964,EXC
965,FAIL
966,LIVE
967,EXC
968,EXC
969,LIVE
970,EXC
971,LIVE
972,LIVE
973,LIVE
974,LIVE
975,LIVE
976,LIVE
977,LIVE
978,LIVE
979,LIVE
980,LIVE
981,LIVE
982,EXC
983,EXC
984,EXC
985,EXC
986,EXC
987,EXC
988,EXC
989,LIVE
990,LIVE
991,EXC
992,EXC
993,LIVE
994,LIVE
995,EXC
996,EXC
997,LIVE
998,LIVE
999,LIVE
1000,FAIL
1001,LIVE
1002,EXC
1003,LIVE
1004,FAIL
1005,EXC
1006,LIVE
1007,FAIL
1008,EXC
1009,LIVE
1010,LIVE
1011,LIVE
1012,LIVE
1013,FAIL
1026,EXC
1027,EXC
1028,LIVE
1072,LIVE
1073,LIVE
1074,LIVE
1075,FAIL
1076,LIVE
1078,EXC
1079,EXC
1080,LIVE
1124,EXC
1125,EXC
1126,FAIL
1127,FAIL
1128,EXC
1129,EXC
1130,FAIL
1141,LIVE
1142,LIVE
1143,LIVE
1144,FAIL
1145,LIVE
1146,FAIL
1147,LIVE
1148,EXC
1149,LIVE
1150,LIVE
1151,EXC
1152,EXC
1153,EXC
1154,LIVE
1155,EXC
1156,EXC
1157,LIVE
1161,EXC
1162,LIVE
1163,LIVE
1164,EXC
1165,LIVE
1166,LIVE
1167,EXC
1168,EXC
1169,EXC
1170,EXC
1171,LIVE
1172,LIVE
1173,FAIL
1174,EXC
1175,LIVE
1176,FAIL
1177,LIVE
1178,LIVE
1179,FAIL
1180,EXC
1181,LIVE
1182,EXC
1183,LIVE
1184,FAIL
1185,LIVE
1186,EXC
1187,FAIL
1188,LIVE
1189,EXC
1190,EXC
1191,EXC
1192,EXC
1193,EXC
1194,EXC
1195,LIVE
1196,LIVE
1197,LIVE
1198,EXC
1199,LIVE
1200,LIVE
1201,LIVE
1202,EXC
1203,EXC
1204,EXC
1205,EXC
1206,LIVE
1207,LIVE
1208,EXC
1209,EXC
1210,LIVE
1211,EXC
1212,EXC
1213,EXC
1214,LIVE
1215,LIVE
1216,LIVE
1217,FAIL
1218,EXC
1219,LIVE
1220,EXC
1221,LIVE
1222,EXC
1223,LIVE
1224,EXC
1225,EXC
1226,LIVE
1227,LIVE
1228,EXC
1229,LIVE
1230,LIVE
1231,LIVE
1232,LIVE
1233,EXC
1234,LIVE
1235,EXC
1236,EXC
1237,EXC
1238,EXC
1239,LIVE
1240,LIVE
1241,EXC
1242,EXC
1243,EXC
1244,EXC
1245,LIVE
1246,EXC
1247,EXC
1248,LIVE
1249,EXC
1250,EXC
1251,EXC
1252,LIVE
1253,EXC
1254,EXC
1255,LIVE
1256,LIVE
1257,LIVE
1258,LIVE
1259,LIVE
1260,LIVE
1261,LIVE
1262,LIVE
1263,LIVE
1264,EXC
1265,LIVE
1266,LIVE
1267,LIVE
1268,EXC
1269,LIVE
1270,FAIL
1271,FAIL
1272,LIVE
1273,LIVE
1274,FAIL
1276,LIVE
1277,EXC
1278,EXC
1279,EXC
1280,LIVE
1281,EXC
1282,EXC
1283,EXC
1284,LIVE
1285,LIVE
1286,EXC
1287,EXC
1288,EXC
1289,EXC
1290,EXC
1291,LIVE
1292,EXC
1293,EXC
1294,EXC
1295,EXC
1296,LIVE
1297,EXC
1298,LIVE
1299,LIVE
1300,LIVE
1301,LIVE
1302,LIVE
1303,EXC
1304,LIVE
1305,LIVE
1306,EXC
1307,LIVE
1308,LIVE
1309,LIVE
1310,EXC
1311,LIVE
1312,LIVE
1313,EXC
1314,LIVE
1315,EXC
1316,LIVE
1317,EXC
1318,LIVE
1319,EXC
1320,EXC
1321,LIVE
1322,TIME
1323,LIVE
1324,TIME
1325,EXC
1326,EXC
1327,EXC
1328,EXC
1329,LIVE
1330,LIVE
1331,EXC
1333,EXC
1334,EXC
1335,EXC
1336,EXC
1337,EXC
1338,LIVE
1339,LIVE
1340,EXC
1341,EXC
1342,EXC
1343,LIVE
1344,LIVE
1345,EXC
1346,EXC
1348,EXC
1349,EXC
1350,EXC
1351,LIVE
1352,LIVE
1353,EXC
1354,LIVE
1355,LIVE
1356,EXC
1357,LIVE
1358,TIME
1359,LIVE
1360,TIME
1361,LIVE
1370,EXC
1371,EXC
1372,LIVE
1373,LIVE
1374,LIVE
1375,LIVE
1376,LIVE
1377,LIVE
1378,EXC
1379,EXC
1380,EXC
1381,LIVE
1382,LIVE
1383,EXC
1384,LIVE
1385,EXC
1386,EXC
1387,LIVE
1388,LIVE
1389,EXC
1390,LIVE
1391,LIVE
1392,EXC
1393,EXC
1394,EXC
1395,EXC
1396,EXC
1397,LIVE
1398,LIVE
1399,LIVE
1400,EXC
1401,EXC
1402,LIVE
1403,LIVE
1404,EXC
1407,EXC
1408,EXC
1409,LIVE
1410,LIVE
1411,EXC
1412,LIVE
1413,LIVE
1414,LIVE
1415,LIVE
1417,EXC
1463,LIVE
1464,LIVE
1465,LIVE
1466,LIVE
1467,LIVE
1468,LIVE
1469,LIVE
1470,EXC
1473,LIVE
1474,LIVE
1475,LIVE
1476,LIVE
1477,LIVE
1478,LIVE
1479,LIVE
1480,LIVE
1481,LIVE
1482,LIVE
1483,FAIL
1484,FAIL
1485,EXC
1486,LIVE
1487,FAIL
1488,EXC
1489,TIME
1490,TIME
1491,EXC
1492,LIVE
1493,LIVE
1494,LIVE
1495,FAIL
1496,LIVE
1497,LIVE
1498,FAIL
1499,FAIL
1500,FAIL
1501,LIVE
1502,FAIL
1503,FAIL
1504,FAIL
1505,LIVE
1506,LIVE
1508,LIVE
1509,TIME
1510,LIVE
1511,LIVE
1512,EXC
1513,LIVE
1514,LIVE
1515,EXC
1516,EXC
1517,LIVE
1518,LIVE
1519,EXC
1520,EXC
1521,LIVE
1522,FAIL
1523,LIVE
1528,LIVE
1529,EXC
1530,EXC
1531,EXC
1532,LIVE
1533,LIVE
1534,EXC
1535,LIVE
1536,EXC
1537,EXC
1538,LIVE
1539,LIVE
1540,EXC
1541,EXC
1542,EXC
1543,EXC
1544,EXC
1545,EXC
1546,EXC
1547,EXC
1548,LIVE
1549,EXC
1550,EXC
1551,EXC
1552,EXC
1553,LIVE
1554,LIVE
1555,LIVE
1556,LIVE
1557,LIVE
1558,LIVE
1559,LIVE
1561,EXC
1562,EXC
1563,EXC
1564,EXC
1565,FAIL
1566,FAIL
1567,LIVE
1568,LIVE
1569,LIVE
1570,LIVE
1571,LIVE
1572,LIVE
1573,LIVE
1574,LIVE
1575,LIVE
1576,LIVE
1577,LIVE
1578,LIVE
1579,FAIL
1580,LIVE
1581,FAIL
1582,LIVE
1584,FAIL
1585,FAIL
1586,FAIL
1587,FAIL
1588,FAIL
1589,FAIL
1590,LIVE
1595,EXC
1596,LIVE
1597,EXC
1598,EXC
1599,LIVE
1600,LIVE
1633,FAIL
1634,FAIL
1635,FAIL
1636,EXC
1637,FAIL
1638,EXC
1639,EXC
1640,FAIL
1641,EXC
1642,FAIL
1643,FAIL
1644,EXC
1645,LIVE
1646,LIVE
1647,LIVE
1648,LIVE
1649,LIVE
1650,FAIL
1651,LIVE
1652,LIVE
1653,FAIL
1654,EXC
1655,LIVE
1656,EXC
1657,FAIL
1658,LIVE
1659,EXC
1660,LIVE
1661,LIVE
1662,LIVE
1663,FAIL
1664,EXC
1665,EXC
1666,EXC
1667,LIVE
1668,EXC
1669,EXC
1670,EXC
1671,LIVE
1672,LIVE
1673,FAIL
1674,EXC
1675,FAIL
1676,LIVE
1677,EXC
1678,FAIL
1679,FAIL
1680,FAIL
1702,EXC
1703,EXC
1704,EXC
1705,LIVE
1706,EXC
1707,LIVE
1708,EXC
1709,LIVE
1710,LIVE
1711,LIVE
1712,LIVE
1713,LIVE
1714,LIVE
1715,LIVE
1716,LIVE
1717,LIVE
1718,LIVE
1719,LIVE
1720,LIVE
1721,LIVE
1722,LIVE
1723,LIVE
1724,LIVE
1725,LIVE
1726,LIVE
1727,LIVE
1728,LIVE
1729,LIVE
1730,LIVE
1731,LIVE
1732,LIVE
1733,LIVE
1734,LIVE
1735,LIVE
1736,LIVE
1737,LIVE
1738,LIVE
1739,LIVE
1740,LIVE
1741,LIVE
1742,LIVE
1743,LIVE
1744,LIVE
1745,LIVE
1746,LIVE
1747,LIVE
1748,LIVE
1749,LIVE
1750,LIVE
1751,LIVE
1752,LIVE
1753,LIVE
1754,LIVE
1755,LIVE
1756,LIVE
1757,LIVE
1758,LIVE
1759,LIVE
1760,LIVE
1761,LIVE
1762,LIVE
1763,LIVE
1764,LIVE
1765,LIVE
1766,LIVE
1767,LIVE
1768,LIVE
1769,LIVE
1770,LIVE
1771,LIVE
1772,LIVE
1773,LIVE
1774,LIVE
1775,LIVE
1776,LIVE
1777,LIVE
1778,LIVE
1813,LIVE
6694,EXC
6695,FAIL
6696,EXC
6697,FAIL
6701,EXC
6705,EXC
6706,EXC
6707,LIVE
6709,EXC
6710,EXC
6711,FAIL
6712,EXC
6713,EXC
6714,EXC
6715,LIVE
6716,EXC
6717,LIVE
6719,EXC
6720,EXC
6721,EXC
6722,FAIL
6723,EXC
6724,FAIL
6725,EXC
6726,EXC
6727,EXC
6728,LIVE
6729,EXC
6730,LIVE
6731,FAIL
6732,EXC
6733,LIVE
6734,EXC
6735,EXC
6736,EXC
6737,EXC
6738,EXC
6739,LIVE
6740,FAIL
6741,LIVE
6742,FAIL
6743,LIVE
6744,LIVE
6745,LIVE
6746,FAIL
6747,LIVE
6748,LIVE
6749,LIVE
6750,FAIL
6751,LIVE
6752,FAIL
6753,EXC
6754,EXC
6755,EXC
6756,EXC
6757,FAIL
6758,EXC
6759,FAIL
6760,LIVE
6761,LIVE
6762,LIVE
6774,EXC
6775,FAIL
6776,FAIL
6777,EXC
6778,EXC
6779,FAIL
6780,EXC
6781,FAIL
6782,LIVE
6783,FAIL
6784,EXC
6785,FAIL
6786,LIVE
6787,LIVE
6788,LIVE
6789,LIVE
6790,LIVE
6792,FAIL
6793,LIVE
6795,LIVE
6796,LIVE
6797,LIVE
6798,LIVE
6810,FAIL
6811,LIVE
6812,FAIL
6813,LIVE
6814,LIVE
6815,LIVE
6816,FAIL
6817,LIVE
6818,LIVE
6819,FAIL
6820,LIVE
6821,LIVE
6822,LIVE
6823,LIVE
6824,LIVE
6825,LIVE
6826,LIVE
6827,LIVE
6828,LIVE
6852,EXC
6853,LIVE
6854,LIVE
6857,LIVE
6858,LIVE
6859,LIVE
6860,LIVE
6861,LIVE
6862,FAIL
6863,EXC
6864,EXC
6865,LIVE
6866,LIVE
6867,FAIL
6868,LIVE
6869,LIVE
6870,FAIL
6871,FAIL
6872,LIVE
6873,LIVE
6874,FAIL
6875,LIVE
6876,FAIL
6877,LIVE
6878,LIVE
6879,LIVE
6880,EXC
6881,FAIL
6882,FAIL
6883,LIVE
6884,LIVE
6885,FAIL
6886,LIVE
6887,FAIL
6888,LIVE
6889,LIVE
6890,LIVE
6891,EXC
6892,FAIL
6893,FAIL
6894,LIVE
6895,LIVE
6896,FAIL
6897,LIVE
6898,FAIL
6899,LIVE
6900,LIVE
6901,FAIL
6902,FAIL
6903,LIVE
6904,EXC
6905,EXC
6906,EXC
6907,LIVE
6908,LIVE
6909,LIVE
6910,FAIL
6911,EXC
6912,EXC
6913,EXC
6914,LIVE
6915,LIVE
6916,FAIL
6917,LIVE
6918,FAIL
6919,LIVE
6920,LIVE
6921,LIVE
6922,EXC
6923,EXC
6924,EXC
6925,LIVE
6926,LIVE
6927,LIVE
6928,FAIL
6929,EXC
6930,EXC
6931,EXC
6932,LIVE
6933,LIVE
6934,FAIL
6935,LIVE
6936,FAIL
6937,LIVE
6938,LIVE
6939,LIVE
6940,FAIL
6941,LIVE
6942,LIVE
6943,FAIL
6944,FAIL
6947,FAIL
6948,EXC
6949,EXC
6950,LIVE
6951,LIVE
6952,FAIL
6953,LIVE
6954,LIVE
6955,FAIL
6956,FAIL
6957,LIVE
6958,LIVE
6959,FAIL
6960,LIVE
6961,FAIL
6962,LIVE
6963,LIVE
6964,FAIL
6965,EXC
6966,FAIL
6967,FAIL
6968,LIVE
6969,LIVE
6970,FAIL
6971,LIVE
